,YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
0,2024,Connecticut,1,2,64,91
1,2024,Stetson,16,64,64,52
2,2024,Florida Atlantic,8,64,64,65
3,2024,Northwestern,9,32,64,77
4,2024,San Diego St.,5,16,64,69
5,2024,UAB,12,64,64,65
6,2024,Auburn,4,64,64,76
7,2024,Yale,13,32,64,78
8,2024,BYU,6,64,64,67
9,2024,Duquesne,11,32,64,71
10,2024,Illinois,3,8,64,85
11,2024,Morehead St.,14,64,64,69
12,2024,Washington St.,7,32,64,66
13,2024,Drake,10,64,64,61
14,2024,Iowa St.,2,16,64,82
15,2024,South Dakota St.,15,64,64,65
16,2024,North Carolina,1,16,64,90
18,2024,Wagner,16,64,68,62
19,2024,Mississippi St.,8,64,64,51
20,2024,Michigan St.,9,32,64,69
21,2024,Saint Mary's,5,64,64,66
22,2024,Grand Canyon,12,32,64,75
23,2024,Alabama,4,4,64,109
24,2024,College of Charleston,13,64,64,96
25,2024,Clemson,6,8,64,77
26,2024,New Mexico,11,64,64,56
27,2024,Baylor,3,32,64,92
28,2024,Colgate,14,64,64,67
29,2024,Dayton,7,32,64,63
30,2024,Nevada,10,64,64,60
31,2024,Arizona,2,16,64,85
32,2024,Long Beach St.,15,64,64,65
33,2024,Houston,1,16,64,86
34,2024,Longwood,16,64,64,46
35,2024,Nebraska,8,64,64,83
36,2024,Texas A&M,9,32,64,98
37,2024,Wisconsin,5,64,64,61
38,2024,James Madison,12,32,64,72
39,2024,Duke,4,8,64,64
40,2024,Vermont,13,64,64,47
41,2024,Texas Tech,6,64,64,67
42,2024,North Carolina St.,11,4,64,80
43,2024,Kentucky,3,64,64,76
44,2024,Oakland,14,32,64,80
45,2024,Florida,7,64,64,100
47,2024,Colorado,10,32,68,102
48,2024,Marquette,2,16,64,87
49,2024,Western Kentucky,15,64,64,69
50,2024,Purdue,1,2,64,78
52,2024,Grambling St.,16,64,68,50
53,2024,Utah St.,8,32,64,88
54,2024,TCU,9,64,64,72
55,2024,Gonzaga,5,16,64,86
56,2024,McNeese St.,12,64,64,65
57,2024,Kansas,4,32,64,93
58,2024,Samford,13,64,64,89
59,2024,South Carolina,6,64,64,73
60,2024,Oregon,11,32,64,87
61,2024,Creighton,3,16,64,77
62,2024,Akron,14,64,64,60
63,2024,Texas,7,32,64,56
65,2024,Colorado St.,10,64,68,44
66,2024,Tennessee,2,8,64,83
67,2024,Saint Peter's,15,64,64,49
,2024,Connecticut,1,2,32,75
,2024,Northwestern,9,32,32,58
,2024,San Diego St.,5,16,32,85
,2024,Yale,13,32,32,57
,2024,Duquesne,11,32,32,63
,2024,Illinois,3,8,32,89
,2024,Washington St.,7,32,32,56
,2024,Iowa St.,2,16,32,67
,2024,North Carolina,1,16,32,85
,2024,Michigan St.,9,32,32,69
,2024,Grand Canyon,12,32,32,61
,2024,Alabama,4,4,32,72
,2024,Clemson,6,8,32,72
,2024,Baylor,3,32,32,64
,2024,Dayton,7,32,32,68
,2024,Arizona,2,16,32,78
,2024,Houston,1,16,32,100
,2024,Texas A&M,9,32,32,95
,2024,James Madison,12,32,32,55
,2024,Duke,4,8,32,93
,2024,North Carolina St.,11,4,32,79
,2024,Oakland,14,32,32,73
,2024,Colorado,10,32,32,77
,2024,Marquette,2,16,32,81
,2024,Purdue,1,2,32,106
,2024,Utah St.,8,32,32,67
,2024,Gonzaga,5,16,32,89
,2024,Kansas,4,32,32,68
,2024,Oregon,11,32,32,73
,2024,Creighton,3,16,32,86
,2024,Texas,7,32,32,58
,2024,Tennessee,2,8,32,62
,2024,Connecticut,1,2,16,82
,2024,San Diego St.,5,16,16,52
,2024,Illinois,3,8,16,72
,2024,Iowa St.,2,16,16,69
,2024,North Carolina,1,16,16,87
,2024,Alabama,4,4,16,89
,2024,Clemson,6,8,16,77
,2024,Arizona,2,16,16,72
,2024,Houston,1,16,16,51
,2024,Duke,4,8,16,54
,2024,North Carolina St.,11,4,16,67
,2024,Marquette,2,16,16,58
,2024,Purdue,1,2,16,80
,2024,Gonzaga,5,16,16,68
,2024,Creighton,3,16,16,75
,2024,Tennessee,2,8,16,82
,2024,Connecticut,1,2,8,77
,2024,Illinois,3,8,8,52
,2024,Alabama,4,4,8,89
,2024,Clemson,6,8,8,82
,2024,Duke,4,8,8,64
,2024,North Carolina St.,11,4,8,76
,2024,Purdue,1,2,8,72
,2024,Tennessee,2,8,8,66
,2024,Connecticut,1,2,4,86
,2024,Alabama,4,4,4,72
,2024,North Carolina St.,11,4,4,50
,2024,Purdue,1,2,4,63
,2024,Connecticut,1,2,2,75
,2024,Purdue,1,2,2,60
146,2023,Alabama,1,16,64,96.0
147,2023,Texas A&M Corpus Chris,16,64,64,75.0
148,2023,Maryland,8,32,64,67.0
149,2023,West Virginia,9,64,64,65.0
150,2023,San Diego St.,5,2,64,63.0
151,2023,College of Charleston,12,64,64,57.0
152,2023,Virginia,4,64,64,67.0
153,2023,Furman,13,32,64,68.0
154,2023,Creighton,6,8,64,72.0
155,2023,North Carolina St.,11,64,64,63.0
156,2023,Baylor,3,32,64,74.0
157,2023,UC Santa Barbara,14,64,64,56.0
158,2023,Missouri,7,32,64,76.0
159,2023,Utah St.,10,64,64,65.0
160,2023,Arizona,2,64,64,55.0
161,2023,Princeton,15,16,64,59.0
162,2023,Purdue,1,64,64,58.0
163,2023,Fairleigh Dickinson,16,32,64,63.0
164,2023,Memphis,8,64,64,65.0
165,2023,Florida Atlantic,9,4,64,66.0
