,YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
,2026,Duke,1,,64,
,2026,Siena,16,,64,
,2026,Ohio St.,8,,64,
,2026,TCU,9,,64,
,2026,St. John's,5,,64,
,2026,Northern Iowa,12,,64,
,2026,Kansas,4,,64,
,2026,Cal Baptist,13,,64,
,2026,Louisville,6,,64,
,2026,South Florida,11,,64,
,2026,Michigan St.,3,,64,
,2026,North Dakota St.,14,,64,
,2026,UCLA,7,,64,
,2026,UCF,10,,64,
,2026,Connecticut,2,,64,
,2026,Furman,15,,64,
,2026,Florida,1,,64,
,2026,Lehigh,16,,64,
,2026,Clemson,8,,64,
,2026,Iowa,9,,64,
,2026,Vanderbilt,5,,64,
,2026,McNeese St.,12,,64,
,2026,Nebraska,4,,64,
,2026,Troy,13,,64,
,2026,North Carolina,6,,64,
,2026,VCU,11,,64,
,2026,Illinois,3,,64,
,2026,Penn,14,,64,
,2026,Saint Mary's,7,,64,
,2026,Texas A&M,10,,64,
,2026,Houston,2,,64,
,2026,Idaho,15,,64,
,2026,Arizona,1,,64,
,2026,LIU,16,,64,
,2026,Villanova,8,,64,
,2026,Utah St.,9,,64,
,2026,Wisconsin,5,,64,
,2026,High Point,12,,64,
,2026,Arkansas,4,,64,
,2026,Hawaii,13,,64,
,2026,BYU,6,,64,
,2026,N.C. State,11,,64,
,2026,Gonzaga,3,,64,
,2026,Kennesaw St.,14,,64,
,2026,Miami FL,7,,64,
,2026,Missouri,10,,64,
,2026,Purdue,2,,64,
,2026,Queens,15,,64,
,2026,Michigan,1,,64,
,2026,Howard,16,,64,
,2026,Georgia,8,,64,
,2026,Saint Louis,9,,64,
,2026,Texas Tech,5,,64,
,2026,Akron,12,,64,
,2026,Alabama,4,,64,
,2026,Hofstra,13,,64,
,2026,Tennessee,6,,64,
,2026,Miami OH,11,,64,
,2026,Virginia,3,,64,
,2026,Wright St.,14,,64,
,2026,Kentucky,7,,64,
,2026,Santa Clara,10,,64,
,2026,Iowa St.,2,,64,
,2026,Tennessee St.,15,,64,
,2025,Auburn,1,4,64,83
,2025,Alabama St.,16,64,64,63
,2025,Louisville,8,64,64,75
,2025,Creighton,9,32,64,89
,2025,Michigan,5,16,64,68
,2025,UC San Diego,12,64,64,65
,2025,Texas A&M,4,32,64,80
,2025,Yale,13,64,64,71
,2025,Mississippi,6,16,64,71
,2025,North Carolina,11,64,64,64
,2025,Iowa St.,3,32,64,82
,2025,Lipscomb,14,64,64,55
,2025,Marquette,7,64,64,66
,2025,New Mexico,10,32,64,75
,2025,Michigan St.,2,8,64,87
